protocol,seed,originated,delivered,resolved,completion_rate,satellite,dropped_loop,dropped_ttl,blocked,stall_no_belief,belief_hops_mean,delivered_hops_mean,gossip_redundant_share,mpr_share,delivered_per_orig
reactive,10,2388,924,1781,0.5188096574957889,713,144,0,30,25395,6.035828584809929,4.162337662337662,,,0.3869346733668342
reactive,11,2390,763,1654,0.46130592503022977,770,121,0,77,27948,6.054363628353672,4.255570117955439,,,0.3192468619246862
reactive,12,2382,839,1692,0.4958628841607565,713,140,0,80,25493,6.490345487911912,4.283671036948748,,,0.3522250209907641
reactive,13,2382,957,1759,0.5440591245025582,657,145,0,79,23148,5.971267163006472,4.122257053291536,,,0.4017632241813602
reactive,14,2378,1038,1785,0.5815126050420169,614,133,0,75,22983,5.6763658597993025,4.031791907514451,,,0.43650126156433977
reactive,15,2387,884,1720,0.513953488372093,738,98,0,71,27010,5.803411929052195,4.167420814479638,,,0.37033933808127356
reactive,16,2383,1000,1774,0.5636978579481398,638,136,0,77,22565,5.972495504072781,4.305,,,0.419639110365086
reactive,17,2388,883,1725,0.5118840579710144,694,148,0,71,24490,6.088567591056332,4.217440543601359,,,0.36976549413735343
reactive,18,2386,811,1713,0.47343841214244015,776,126,0,67,27070,5.968755424405485,3.950678175092478,,,0.33989941324392287
reactive,19,2379,754,1699,0.44379046497939967,822,123,0,131,27443,6.26155415594784,4.2851458885941645,,,0.31693989071038253
reactive+overhear,0,2378,1315,1964,0.6695519348268839,188,461,0,227,8200,6.051192738019844,3.618250950570342,,,0.5529857022708158
reactive+overhear,1,2384,1077,1936,0.556301652892562,185,674,0,359,6988,7.227487742559216,3.737233054781801,,,0.45176174496644295
reactive+overhear,2,2380,956,1906,0.5015739769150053,268,682,0,560,8795,7.593283100900868,3.687238493723849,,,0.4016806722689076
reactive+overhear,3,2372,981,1929,0.5085536547433903,211,737,0,210,8364,7.709848877694644,3.7716615698267075,,,0.41357504215851604
reactive+overhear,4,2377,1054,1939,0.5435791645177926,206,679,0,409,6943,7.105914415329406,3.7058823529411766,,,0.44341607067732436
reactive+overhear,5,2381,950,1918,0.49530761209593327,257,711,0,314,10046,7.824535745213124,3.5,,,0.3989920201595968
reactive+overhear,6,2384,1133,1970,0.5751269035532995,176,661,0,354,6767,7.102561066377969,4.0767872903795235,,,0.475251677852349
reactive+overhear,7,2384,808,1915,0.42193211488250654,299,808,0,153,11146,8.731406240307674,3.9381188118811883,,,0.3389261744966443
reactive+overhear,8,2382,882,1882,0.46865037194473963,238,762,0,519,8294,7.60853315571344,4.034013605442177,,,0.3702770780856423
reactive+overhear,9,2375,1080,1925,0.561038961038961,218,627,0,430,7675,6.924849751763784,3.748148148148148,,,0.45473684210526316
reactive+overhear,10,2388,1090,2011,0.5420188960716061,197,724,0,172,8919,7.521771122679862,4.011926605504587,,,0.4564489112227806
reactive+overhear,11,2389,891,1895,0.47018469656992085,250,754,0,368,9617,8.142865320764798,4.007856341189674,,,0.3729593972373378
reactive+overhear,12,2382,927,1877,0.4938732019179542,297,653,0,442,9985,7.640046877615938,4.195253505933118,,,0.3891687657430731
